tile_path,label
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_768_3072.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_768_3328.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1024_2048.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1024_2304.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1024_2560.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1024_2816.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1024_3072.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1024_3328.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1280_1792.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1280_2048.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1280_2304.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1280_2560.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1280_2816.png,1
C:\Users\User\Documents\SVS\save\tiles\TCGA-42-2593-01A-01-TS1.0aa136c4-90e2-49f3-adf8-73d334f9e6ec.svs_1280_3072.png,1
